customer_type,program_category,rebate_name,eligible_technologies,typical_rebate_range_usd,program_url,notes
Residential,Home Efficiency,Home Performance Program,"Whole-house energy efficiency upgrades (insulation, HVAC, water heater)",Varies,https://www.smud.org/Rebates-and-Savings-Tips/Improve-Home-Efficiency,Bundle measures to optimize savings
Residential,Home Efficiency,Heat Pump Water Heater,Electric heat pump water heaters,1500-3000,https://www.smud.org/Rebates-and-Savings-Tips/Improve-Home-Efficiency/Heat-pump-water-heaters,Qualifying efficiency criteria required
Residential,Home Efficiency,Heating & Cooling Systems Rebate,High-efficiency HVAC systems,Up to 2500,https://www.smud.org/Rebates-and-Savings-Tips/Rebates-for-My-Home/Heating-and-Cooling-Rebates,Installed by qualified contractor
Residential,Electrification,Go Electric Bonus,"Panel upgrades, EV and appliance circuits",Up to 2000,https://www.smud.org/Rebates-and-Savings-Tips/Improve-Home-Efficiency/Go-Electric-Bonus-Package,Requires qualifying heat pump upgrades
Residential,Smart/EV,Charge@Home EV Charger Rebate,Level 2 EV charger & circuit,Up to 900,https://www.smud.org/Rebates-and-Savings-Tips,Includes residential EV incentives
Residential,Bill Assistance,Energy Assistance Program Rate (EAPR),Monthly bill discount,Monthly credit,https://www.smud.org/Corporate/Landing-Pages/EAPR/Energy-saver-bundles,Income-qualified bill savings
Commercial,Energy Efficiency,Complete Energy Solutions,"Lighting, HVAC, refrigeration and controls",Project-based,https://www.smud.org/Business-Solutions-and-Rebates/Business-Rebates/Complete-Energy-Solutions-Program,Free energy assessment plus incentives
Commercial,Energy Efficiency,Custom Retrofit Incentives,Custom industrial and commercial systems,Project-based,https://www.smud.org/Business-Solutions-and-Rebates/Business-Rebates/Custom-Incentives,Savings based on verified energy reduction
Commercial,New Construction,Integrated Design Solutions,New construction or major remodel electrification,Up to 350000,https://www.smud.org/Business-Solutions-and-Rebates/Business-Rebates/Integrated-Design-Solutions,Technical support and early design incentive
Commercial,Electrification/EV,Commercial EV Charging Incentives,Level 2 and DC fast chargers,Up to 3500 per charger,https://www.smud.org/Business-Solutions-and-Rebates/Business-Rebates,Supports fleet and tenant chargers
Commercial,Multifamily,Multifamily Go Electric Incentives,"Electric space and water heating, EV chargers",Varies,https://www.smud.org/Business-Solutions-and-Rebates/Business-Rebates/Multi-Family-go-electric-incentives,Applies to properties with 5 or more units
